"filename", "language", "TypeScript", "HTML", "SCSS", "CSS", "comment", "blank", "total"
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\dashboard\dashboard.module.ts", "TypeScript", 26, 0, 0, 0, 0, 2, 28
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\debug\debug-routing.module.ts", "TypeScript", 29, 0, 0, 0, 0, 3, 32
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\debug\debug.component.html", "HTML", 0, 3, 0, 0, 0, 1, 4
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\debug\debug.component.ts", "TypeScript", 9, 0, 0, 0, 0, 3, 12
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\debug\debug.module.ts", "TypeScript", 31, 0, 0, 0, 4, 2, 37
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\debug\loggings\loggings.component.html", "HTML", 0, 43, 0, 0, 1, 1, 45
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\debug\loggings\loggings.component.ts", "TypeScript", 78, 0, 0, 0, 0, 7, 85
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\error\404.component.html", "HTML", 0, 28, 0, 0, 0, 1, 29
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\error\404.component.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\error\500.component.html", "HTML", 0, 28, 0, 0, 0, 1, 29
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\error\500.component.ts", "TypeScript", 7, 0, 0, 0, 0, 2, 9
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\finance\approval\approval.component.html", "HTML", 0, 55, 0, 0, 87, 1, 143
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\finance\approval\approval.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\finance\approval\approval.component.ts", "TypeScript", 264, 0, 0, 0, 13, 19, 296
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\finance\cost\cost.component.html", "HTML", 0, 125, 0, 0, 0, 1, 126
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\finance\cost\cost.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\finance\cost\cost.component.ts", "TypeScript", 198, 0, 0, 0, 5, 18, 221
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\finance\finance-routing.module.ts", "TypeScript", 25, 0, 0, 0, 0, 3, 28
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\finance\finance.module.ts", "TypeScript", 40, 0, 0, 0, 4, 2, 46
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\flow\flow.component.html", "HTML", 0, 24, 0, 0, 2, 2, 28
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\flow\flow.component.scss", "SCSS", 0, 0, 9, 0, 0, 2, 11
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\flow\flow.component.ts", "TypeScript", 304, 0, 0, 0, 14, 19, 337
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\flow\flow.data.ts", "TypeScript", 115, 0, 0, 0, 42, 1, 158
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d1\d1.component.html", "HTML", 0, 252, 0, 0, 13, 1, 266
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d1\d1.component.ts", "TypeScript", 806, 0, 0, 0, 44, 72, 922
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2-lot-engineer\d2-lot-engineer.component.html", "HTML", 0, 902, 0, 0, 12, 4, 918
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2-lot-engineer\d2-lot-engineer.component.ts", "TypeScript", 1249, 0, 0, 0, 55, 43, 1347
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2-lot\d2-lot.component.html", "HTML", 0, 999, 0, 0, 12, 4, 1015
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2-lot\d2-lot.component.ts", "TypeScript", 1339, 0, 0, 0, 128, 63, 1530
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2-material\d2-material.component.html", "HTML", 0, 1036, 0, 0, 40, 6, 1082
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2-material\d2-material.component.ts", "TypeScript", 1108, 0, 0, 0, 38, 41, 1187
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2-material\modals\d2-add-material.component.ts", "TypeScript", 168, 0, 0, 0, 1, 6, 175
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2\d2.component.html", "HTML", 0, 241, 0, 0, 16, 2, 259
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d2\d2.component.ts", "TypeScript", 527, 0, 0, 0, 27, 14, 568
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-addons\d3-addons.component.html", "HTML", 0, 202, 0, 0, 3, 3, 208
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-addons\d3-addons.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-addons\d3-addons.component.ts", "TypeScript", 305, 0, 0, 0, 5, 12, 322
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-addons\modals\add-action.component.ts", "TypeScript", 327, 0, 0, 0, 18, 10, 355
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-instruction\d3-instruction.component.html", "HTML", 0, 710, 0, 0, 0, 2, 712
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-instruction\d3-instruction.component.ts", "TypeScript", 591, 0, 0, 0, 33, 42, 666
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-instruction\modals\add-instruction.html", "HTML", 0, 131, 0, 0, 0, 2, 133
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-instruction\modals\add-instruction.ts", "TypeScript", 250, 0, 0, 0, 3, 15, 268
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-lot\d3-lot.component.html", "HTML", 0, 825, 0, 0, 19, 2, 846
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-lot\d3-lot.component.ts", "TypeScript", 2462, 0, 0, 0, 102, 72, 2636
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-material\d3-material.component.html", "HTML", 0, 264, 0, 0, 9, 2, 275
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-material\d3-material.component.ts", "TypeScript", 528, 0, 0, 0, 36, 36, 600
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-minutes\d3-minutes.component.html", "HTML", 0, 93, 0, 0, 16, 2, 111
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-minutes\d3-minutes.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-minutes\d3-minutes.component.ts", "TypeScript", 238, 0, 0, 0, 4, 12, 254
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-minutes\modals\add-mom.component.ts", "TypeScript", 194, 0, 0, 0, 1, 8, 203
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-qa\d3-qa.component.html", "HTML", 0, 213, 0, 0, 0, 2, 215
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-qa\d3-qa.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3-qa\d3-qa.component.ts", "TypeScript", 210, 0, 0, 0, 4, 9, 223
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3\d3.component.html", "HTML", 0, 223, 0, 0, 0, 2, 225
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3\d3.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d3\d3.component.ts", "TypeScript", 259, 0, 0, 0, 2, 13, 274
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d4\d4.component.html", "HTML", 0, 125, 0, 0, 0, 2, 127
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d4\d4.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d4\d4.component.ts", "TypeScript", 241, 0, 0, 0, 1, 12, 254
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d5-addons\d5-addons.component.html", "HTML", 0, 197, 0, 0, 0, 3, 200
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d5-addons\d5-addons.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d5-addons\d5-addons.component.ts", "TypeScript", 298, 0, 0, 0, 4, 11, 313
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d5-addons\modals\add-action.component.ts", "TypeScript", 324, 0, 0, 0, 4, 10, 338
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d6\d6.component.html", "HTML", 0, 111, 0, 0, 0, 2, 113
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d6\d6.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d6\d6.component.ts", "TypeScript", 141, 0, 0, 0, 4, 7, 152
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d7-addons\d7-addons.component.html", "HTML", 0, 198, 0, 0, 0, 3, 201
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d7-addons\d7-addons.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d7-addons\d7-addons.component.ts", "TypeScript", 287, 0, 0, 0, 4, 11, 302
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d7-addons\modals\add-action.component.ts", "TypeScript", 324, 0, 0, 0, 4, 10, 338
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d8\d8.component.html", "HTML", 0, 84, 0, 0, 1, 2, 87
"c:\workspace\ATBKIT\NCRB\NCRB-APP\src\app\pages\form-page\d8\d8.component.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
